origin,destination,distance_km,profitability
 AGHA PORT, BLIDA,  54    ,1
 AGHA PORT, CHLEF,  208    ,1
 BEJAIA PORT, BLIDA,  294    ,1
 BEJAIA PORT, Ain Tassera,  186    ,1
 BEJAIA PORT, TABIA,  714    ,0
 BEJAIA PORT, OUMACHE,  572    ,0
 BEJAIA PORT, TOUGGOURT,  766    ,0
 BEJAIA PORT, BECHAR,  1 249    ,0
 BEJAIA PORT, KHROUB,  370    ,0
 DJENDJEN, Ain Tassera,  399    ,1
 DJENDJEN, AIN YAGOUT,  282    ,1
 DJENDJEN, KHROUB,  214    ,1
 DJENDJEN, GUIDJEL,  334    ,1
 DJENDJEN, OUMACHE,  459    ,1
 DJENDJEN, TOUGGOURT,  653    ,1
EL HADJAR, KHROUB,  192    ,1
EL HADJAR, Ain Tassera,  377    ,1
EL HADJAR, M'DAOUROUCHE,  129    ,0
EL HADJAR, OUMACHE,  438    ,1
SKIKDA, OUMACHE,  355    ,1
SKIKDA, AIN YAGOUT,  179    ,1
SKIKDA, KHROUB,  110    ,1
SKIKDA, Ain Tassera,  294    ,1
SKIKDA, GUIDJEL,  235    ,1
SKIKDA, TOUGGOURT,  549    ,1
H.KROUMA, TOUGGOURT,  544    ,1
H.KROUMA, KHROUB,  99    ,1
H.KROUMA, AIN YAGOUT,  168    ,1
H.KROUMA, GUIDJEL,  230    ,1
H.KROUMA, OUMACHE,  346    ,1
H.KROUMA, Ain Tassera,  289    ,1
AIN FEZZA, TABIA,  54    ,1
AIN FEZZA, BECHAR,  628    ,1
 ORAN PORT, RELIZANE,  136    ,1
 ORAN PORT, OUED RHIOU,  178    ,1
 ORAN PORT, BECHAR,  684    ,1
 GHAZAOUET, BECHAR,  767    ,1
 GHAZAOUET, TABIA,  193    ,0
AIN FEZZA, Bouira,  637    ,1
AIN FEZZA, RELIZANE,  228    ,1
AIN FEZZA, OUED RHIOU,  271    ,1
AIN FEZZA, BLIDA,  474    ,1
 GHAZAOUET, BLIDA,  613    ,1
 GHAZAOUET, RELIZANE,  367    ,1
 GHAZAOUET, OUED RHIOU,  410    ,1
 ORAN PORT, TABIA,  110    ,1
 ORAN PORT, Oued Tlélat,  50    ,0
 ORAN PORT, BLIDA,  381    ,0
